-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
其他流动负债(元),"59,000,000.00","59,000,000.00",-,-,-,-,-,-,-
流动负债合计(元),"4,055,267,464.93","4,018,698,726.14","3,569,082,297.08","3,497,642,817.43","3,592,400,766.76","3,564,477,866.29","3,504,080,758.72","3,173,537,917.54","2,168,935,784.83"
非流动负债：
长期借款(元),"5,900,000.00","128,900,000.00","200,400,000.00","204,900,000.00","229,400,000.00","86,500,000.00","113,000,000.00","143,000,000.00","163,000,000.00"
应付债券(元),"219,231,059.76","219,014,262.81","218,797,465.86","218,579,481.81","218,365,287.39","297,212,452.14","296,924,512.74","296,636,573.34","296,348,633.94"
长期应付款(元),"105,892,771.52","116,865,938.32","365,744,676.54","367,328,462.22","380,393,026.74","452,886,915.09","401,132,188.47","403,178,663.15","340,927,027.28"
专项应付款(元),-,-,-,-,-,-,-,"63,109,872.00","63,109,872.00"
预计负债(元),"195,820.00","195,820.00",-,"300,000.00","300,000.00","300,000.00",-,-,-
递延收益(元),"170,269,314.52","174,738,199.14","179,981,428.68","177,252,652.57","180,523,876.46","183,916,936.54","187,430,224.16","190,291,460.36","186,201,184.04"
递延所得税负债(元),"6,824,805.08","7,047,782.23","8,264,889.06","7,991,168.09","8,584,642.55","8,933,820.50","2,731,839.63","2,483,490.57","2,979,438.68"
非流动负债合计(元),"508,313,770.88","646,762,002.50","973,188,460.14","976,351,764.69","1,017,566,833.14","1,029,750,124.27","1,001,218,765.00","1,098,700,059.42","1,052,566,155.94"
负债合计(元),"4,563,581,235.81","4,665,460,728.64","4,542,270,757.22","4,473,994,582.12","4,609,967,599.90","4,594,227,990.56","4,505,299,523.72","4,272,237,976.96","3,221,501,940.77"
所有者权益(或股东权益)：
实收资本或股本(元),"1,152,214,592.00","1,152,214,592.00","1,152,214,592.00","1,152,214,592.00","1,152,214,592.00","1,152,029,792.00","1,151,399,492.00","1,151,331,592.00","503,216,492.00"
资本公积(元),"3,218,907,061.19","3,218,907,061.19","3,229,541,386.19","3,229,541,386.19","3,229,541,386.19","3,228,495,682.19","3,213,537,401.56","3,204,928,959.75","2,330,279,661.56"
其他综合收益(元),"-16,646,142.22","-15,822,361.92","-16,282,164.90","-16,427,904.36","-14,815,090.66","-14,596,799.58","-270,645.45","-1,826,672.03","303,683.63"
盈余公积(元),"49,559,707.71","49,559,707.71","43,264,222.00","43,264,222.00","43,264,222.00","43,264,222.00","38,327,070.21","38,327,070.21","38,327,070.21"
未分配利润(元),"483,901,728.91","524,165,460.71","749,267,122.89","720,734,136.41","749,728,981.52","739,939,154.88","749,814,720.28","600,243,666.81","494,994,886.70"
归属于母公司股东权益合计(元),"4,887,936,947.59","4,929,024,459.69","5,158,005,158.18","5,129,326,432.24","5,159,934,091.05","5,149,132,051.49","5,152,808,038.60","4,993,004,616.74","3,367,121,794.10"
少数股东权益(元),"-16,559,559.70","-30,747,738.38","-12,130,516.59","-11,240,409.44","-10,103,850.36","-9,098,185.85","852,619.93","3,818,724.00","6,623,832.46"
股东权益合计(元),"4,871,377,387.89","4,898,276,721.31","5,145,874,641.59","5,118,086,022.80","5,149,830,240.69","5,140,033,865.64","5,153,660,658.53","4,996,823,340.74","3,373,745,626.56"
负债和股东权益合计(元),"9,434,958,623.70","9,563,737,449.95","9,688,145,398.81","9,592,080,604.92","9,759,797,840.59","9,734,261,856.20","9,658,960,182.25","9,269,061,317.70","6,595,247,567.33"
公告日期,2020-04-30,2020-04-30,2019-10-23,2019-08-28,2019-04-25,2019-04-23,2018-10-30,2018-08-10,2018-04-24
审计意见(境内),带强调事项段的无保留意见,带强调事项段的无保留意见
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)
